lattitude,longitude,rssi,rssiPacket,snr,srcID
43.5740, 1.4658, -109, -97, 5, 2
43.5740, 1.4657, -106, -95, 7, 2
43.5739, 1.4656, -112, -97, 6, 2
43.5739, 1.4656, -115, -96, 7, 2
43.5738, 1.4655, -113, -92, 8, 2
43.5738, 1.4654, -111, -93, 6, 2
43.5738, 1.4653, -111, -96, 5, 2
43.5739, 1.4651, -106, -100, 2, 2
43.5740, 1.4649, -107, -102, 2, 2
43.5740, 1.4649, -103, -99, 1, 2
43.5740, 1.4648, -95, -129, -12, 2
43.5740, 1.4647, -93, -128, -11, 2
43.5741, 1.4647, -87, -132, -15, 2
43.5741, 1.4645, -92, -132, -15, 0
43.5741, 1.4644, -90, -132, -15, 0
43.5742, 1.4643, -87, -134, -17, 0
43.5742, 1.4641, -79, -134, -17, 0
43.5742, 1.4639, -97, -134, -17, 0
43.5742, 1.4638, -95, -127, -10, 2
43.5742, 1.4637, -94, -131, -14, 2
43.5742, 1.4636, -95, -121, -4, 2
43.5742, 1.4634, -109, -103, 0, 2
43.5743, 1.4634, -102, -120, -3, 2
43.5743, 1.4633, -102, -118, -1, 2
43.5743, 1.4632, -110, -107, 1, 2
43.5743, 1.4631, -103, -102, 0, 2
43.5743, 1.4630, -105, -119, -2, 2
43.5744, 1.4629, -112, -108, 1, 2
43.5744, 1.4628, -108, -109, 0, 2
43.5744, 1.4627, -113, -110, 0, 2
43.5744, 1.4626, -104, -121, -4, 2
43.5744, 1.4625, -108, -108, 0, 2
43.5745, 1.4624, -110, -105, 0, 2
43.5745, 1.4624, -98, -127, -10, 2
43.5746, 1.4623, -98, -130, -13, 2
43.5746, 1.4622, -98, -130, -13, 2
43.5746, 1.4621, -101, -125, -8, 2
43.5746, 1.4620, -98, -131, -14, 2
43.5747, 1.4619, -103, -124, -7, 2
43.5747, 1.4619, -101, -120, -3, 2
43.5747, 1.4618, -104, -127, -10, 2
43.5748, 1.4617, -107, -125, -8, 2
43.5749, 1.4616, -104, -126, -9, 2
43.5749, 1.4615, -99, -131, -14, 0
43.5749, 1.4614, -95, -136, -19, 0
43.5750, 1.4612, -101, -136, -19, 0
43.5748, 1.4611, -102, -132, -15, 0
43.5747, 1.4611, -96, -132, -15, 0
43.5747, 1.4610, -98, -134, -17, 0
43.5746, 1.4610, -100, -127, -10, 2
43.5745, 1.4609, -107, -123, -6, 2
43.5745, 1.4608, -112, -123, -6, 2
43.5744, 1.4608, -110, -121, -4, 2
43.5743, 1.4607, -111, -123, -6, 2
43.5742, 1.4607, -110, -122, -5, 2
43.5741, 1.4606, -109, -120, -3, 2
43.5741, 1.4605, -114, -108, 1, 2
43.5740, 1.4604, -112, -106, 3, 2
43.5740, 1.4603, -113, -108, 2, 2
43.5740, 1.4602, -108, -120, -3, 2
43.5741, 1.4601, -110, -122, -5, 2
43.5741, 1.4600, -113, -118, -1, 2
43.5741, 1.4599, -113, -106, 4, 2
43.5741, 1.4599, -112, -111, 0, 2
43.5740, 1.4598, -111, -109, 1, 2
43.5740, 1.4598, -110, -108, 0, 2
43.5739, 1.4598, -115, -107, 2, 2
43.5739, 1.4597, -110, -107, 0, 2
43.5738, 1.4597, -110, -101, 1, 2
43.5738, 1.4597, -110, -102, 4, 2
43.5738, 1.4597, -112, -108, 3, 2
43.5737, 1.4598, -116, -108, 3, 2
43.5737, 1.4599, -115, -107, 4, 2
43.5737, 1.4600, -114, -101, 8, 2
43.5736, 1.4600, -116, -105, 5, 2
43.5736, 1.4601, -115, -107, 5, 2
43.5735, 1.4602, -116, -104, 7, 2
43.5735, 1.4603, -115, -99, 6, 2
43.5735, 1.4604, -115, -103, 6, 2
43.5734, 1.4604, -115, -111, 1, 2
43.5733, 1.4605, -115, -106, 4, 2
43.5732, 1.4604, -116, -110, 1, 2
43.5732, 1.4603, -115, -105, 5, 2
43.5731, 1.4603, -115, -103, 5, 2
43.5731, 1.4602, -115, -104, 5, 2
43.5730, 1.4600, -114, -103, 5, 2
43.5730, 1.4600, -115, -106, 5, 2
43.5731, 1.4599, -115, -104, 5, 2
43.5731, 1.4598, -114, -107, 5, 2
43.5732, 1.4598, -116, -104, 5, 2
43.5732, 1.4597, -115, -103, 6, 2
43.5733, 1.4596, -115, -104, 5, 2
43.5732, 1.4596, -116, -106, 5, 2
43.5732, 1.4595, -116, -103, 6, 2
43.5731, 1.4594, -116, -103, 6, 2
43.5731, 1.4593, -115, -106, 4, 2
43.5730, 1.4593, -116, -106, 5, 2
43.5730, 1.4592, -116, -106, 6, 2
43.5729, 1.4591, -116, -107, 4, 2
43.5729, 1.4591, -116, -111, 2, 2
43.5728, 1.4591, -115, -109, 4, 2
43.5728, 1.4590, -115, -106, 5, 2
43.5727, 1.4590, -116, -110, 3, 2
43.5726, 1.4589, -115, -113, 0, 2
43.5726, 1.4588, -115, -111, 1, 2
43.5726, 1.4587, -115, -113, 0, 2
43.5726, 1.4586, -115, -112, 0, 2
43.5726, 1.4586, -115, -112, 1, 2
43.5726, 1.4585, -116, -111, 1, 2
43.5726, 1.4584, -115, -112, 0, 2
43.5726, 1.4583, -116, -112, 1, 2
43.5726, 1.4582, -115, -112, 1, 2
43.5726, 1.4581, -115, -120, -3, 2
43.5726, 1.4580, -115, -113, 0, 2
43.5726, 1.4579, -115, -118, -1, 2
43.5726, 1.4578, -114, -113, 0, 2
43.5726, 1.4577, -115, -114, 0, 2
43.5726, 1.4577, -116, -114, 0, 2
43.5726, 1.4576, -115, -118, -1, 2
43.5726, 1.4575, -115, -122, -5, 2
43.5726, 1.4574, -114, -121, -4, 2
43.5726, 1.4573, -115, -120, -3, 2
43.5726, 1.4572, -115, -118, -1, 2
43.5726, 1.4571, -115, -120, -3, 0
43.5726, 1.4569, -115, -122, -5, 2
43.5727, 1.4565, -114, -124, -7, 2
43.5727, 1.4564, -115, -112, 0, 2
43.5727, 1.4563, -115, -119, -2, 2
43.5726, 1.4562, -115, -119, -2, 2
43.5726, 1.4562, -114, -121, -4, 2
43.5726, 1.4561, -114, -121, -4, 2
43.5727, 1.4560, -116, -119, -2, 2
43.5727, 1.4559, -115, -114, 0, 2
43.5726, 1.4558, -116, -112, 0, 2
43.5726, 1.4557, -112, -111, 0, 2
43.5725, 1.4557, -110, -105, 2, 2
43.5724, 1.4557, -107, -107, 1, 2
43.5724, 1.4558, -112, -120, -3, 2
43.5723, 1.4558, -115, -112, 0, 2
43.5722, 1.4558, -115, -114, 0, 2
43.5722, 1.4558, -115, -113, 0, 2
43.5721, 1.4558, -115, -124, -7, 2
43.5721, 1.4557, -115, -123, -6, 2
43.5720, 1.4557, -116, -120, -3, 2
43.5720, 1.4556, -115, -118, -1, 2
43.5719, 1.4556, -115, -118, -1, 2
43.5718, 1.4555, -116, -120, -3, 2
43.5718, 1.4555, -116, -118, -1, 2
43.5718, 1.4554, -115, -119, -2, 2
43.5717, 1.4554, -115, -124, -7, 2
43.5717, 1.4554, -115, -122, -5, 2
43.5716, 1.4553, -115, -119, -2, 2
43.5716, 1.4553, -115, -120, -3, 2
43.5715, 1.4552, -115, -119, -2, 2
43.5715, 1.4552, -115, -114, 0, 2
43.5714, 1.4551, -116, -121, -4, 2
43.5714, 1.4551, -115, -113, 0, 2
43.5713, 1.4550, -115, -118, -1, 2
43.5713, 1.4550, -115, -120, -3, 2
43.5712, 1.4549, -107, -112, 0, 2
43.5712, 1.4549, -115, -118, -1, 2
43.5712, 1.4548, -115, -118, -1, 2
43.5711, 1.4548, -115, -113, 0, 2
43.5712, 1.4544, -107, -124, -7, 2
43.5712, 1.4543, -61, -124, -7, 2
43.5713, 1.4543, -114, -123, -6, 2
43.5713, 1.4542, -114, -119, -2, 2
43.5713, 1.4541, -102, -121, -4, 2
43.5713, 1.4540, -114, -121, -4, 2
43.5713, 1.4539, -114, -119, -2, 2
43.5713, 1.4538, -114, -120, -3, 2
43.5713, 1.4537, -107, -124, -7, 2
43.5712, 1.4536, -101, -135, -18, 0
43.5711, 1.4536, -112, -125, -8, 2
43.5711, 1.4535, -108, -123, -6, 2
43.5711, 1.4534, -109, -129, -12, 2
43.5710, 1.4533, -113, -129, -12, 0
43.5710, 1.4532, -110, -130, -13, 2
43.5709, 1.4531, -102, -127, -10, 2
43.5709, 1.4531, -113, -121, -4, 2
43.5708, 1.4530, -106, -128, -11, 2
43.5707, 1.4530, -114, -121, -4, 2
43.5707, 1.4529, -113, -121, -4, 2
43.5707, 1.4528, -115, -124, -7, 2
43.5706, 1.4527, -115, -118, -1, 2
43.5706, 1.4527, -104, -118, -1, 0
43.5705, 1.4526, -114, -119, -2, 2
43.5705, 1.4525, -115, -126, -9, 2
43.5704, 1.4524, -115, -120, -3, 2
43.5704, 1.4524, -114, -122, -5, 2
43.5704, 1.4523, -108, -125, -8, 2
43.5703, 1.4522, -115, -118, -1, 2
43.5703, 1.4521, -115, -120, -3, 2
43.5702, 1.4520, -114, -121, -4, 2
43.5702, 1.4519, -115, -120, -3, 2
43.5701, 1.4518, -116, -123, -6, 2
43.5701, 1.4518, -114, -121, -4, 2
43.5700, 1.4517, -115, -121, -4, 2
43.5699, 1.4516, -116, -126, -9, 2
43.5699, 1.4515, -115, -119, -2, 2
43.5698, 1.4515, -115, -121, -4, 2
43.5698, 1.4514, -115, -122, -5, 2
43.5698, 1.4513, -114, -114, 0, 2
43.5697, 1.4512, -115, -120, -3, 2
43.5696, 1.4511, -114, -122, -5, 2
43.5695, 1.4511, -114, -123, -6, 2
43.5694, 1.4512, -115, -119, -2, 2
43.5694, 1.4512, -115, -121, -4, 2
43.5693, 1.4512, -113, -128, -11, 2
43.5692, 1.4513, -114, -127, -10, 2
43.5692, 1.4513, -112, -122, -5, 2
43.5691, 1.4513, -114, -121, -4, 2
43.5690, 1.4514, -113, -124, -7, 2
43.5690, 1.4514, -110, -126, -9, 2
43.5689, 1.4515, -110, -121, -4, 2
43.5689, 1.4516, -112, -121, -4, 0
43.5689, 1.4517, -114, -122, -5, 2
43.5690, 1.4518, -113, -111, 2, 2
43.5690, 1.4519, -113, -113, 0, 2
43.5691, 1.4520, -113, -121, -4, 2
43.5691, 1.4521, -110, -125, -8, 2
43.5692, 1.4522, -112, -125, -8, 2
43.5692, 1.4523, -114, -121, -4, 2
43.5692, 1.4523, -114, -121, -4, 2
43.5693, 1.4524, -115, -125, -8, 2
43.5693, 1.4524, -114, -122, -5, 2
43.5694, 1.4525, -114, -119, -2, 2
43.5694, 1.4526, -116, -127, -10, 2
43.5695, 1.4527, -115, -121, -4, 2
43.5696, 1.4527, -114, -120, -3, 2
43.5696, 1.4528, -114, -119, -2, 2
